date,open,close,high,low,volume,money
2007-06-22,4230.97,4091.45,4249.43,4024.49,11969203700,1.68E+11
2007-06-25,4102.79,3941.08,4131.13,3912.42,10160665500,1.41E+11
2007-06-26,3863.25,3973.37,3976.19,3818.85,9381746900,1.22E+11
2007-06-27,3985.72,4078.6,4090.72,3948.29,9511348100,1.26E+11
2007-06-28,4080.19,3914.2,4113.28,3912.81,9783161000,1.27E+11
2007-06-29,3824.29,3820.7,3919.34,3779.81,8609998500,1.05E+11
2007-07-02,3800.23,3836.29,3859.86,3724.19,7425406000,89585502290
2007-07-03,3854.72,3899.72,3906.76,3821.46,6974921700,85506976110
2007-07-04,3906.01,3816.16,3916.47,3800.28,5647477700,72263450668
2007-07-05,3769.64,3615.87,3778.4,3614.53,6340593600,73755081218
2007-07-06,3599.82,3781.35,3785.35,3563.54,8073724100,92306322866
2007-07-09,3809.67,3883.22,3900.9,3782.73,8348053900,99410612113
2007-07-10,3895.91,3853.02,3929.42,3841.8,7656333400,93739498017
2007-07-11,3837.8,3865.72,3879.29,3812.14,5135388000,62299661073
2007-07-12,3874.04,3915.99,3925.6,3861.04,5515836300,70286328097
2007-07-13,3920.83,3914.39,3935.51,3878.18,4602447100,56375761362
2007-07-16,3920.65,3821.92,3931.87,3820.57,4761528000,58881864143
2007-07-17,3809.56,3896.19,3919.78,3767.22,4871222300,60523645457
2007-07-18,3880.85,3930.06,3971.61,3861.91,6287183400,80028948101
2007-07-19,3918.54,3912.94,3947.33,3887.59,4873759500,62965662475
2007-07-20,3918.41,4058.85,4062.12,3918.41,8311064600,1.05E+11
2007-07-23,4091.24,4213.36,4220.32,4091.24,12166896400,1.54E+11
2007-07-24,4238.32,4210.33,4284.83,4192.72,11098925200,1.42E+11
2007-07-25,4212.95,4323.97,4325.38,4212.23,9395004300,1.26E+11
2007-07-26,4347.78,4346.46,4371.51,4304.19,9921066900,1.33E+11
2007-07-27,4315.37,4345.36,4357.34,4268.79,10024581300,1.38E+11
2007-07-30,4348.61,4440.77,4450.19,4345.79,11258976800,1.54E+11
2007-07-31,4432.27,4471.03,4476.63,4379.2,10856141000,1.50E+11
2007-08-01,4488.77,4300.56,4502.3,4284.87,12629287400,1.71E+11
2007-08-02,4316.57,4407.73,4431.85,4290.81,9827857800,1.41E+11
2007-08-03,4440.98,4560.77,4562.69,4438.96,11511667200,1.74E+11
2007-08-06,4600.12,4628.11,4629.97,4564.31,11170797900,1.68E+11
2007-08-07,4642.01,4651.23,4687.44,4581.29,11618108500,1.80E+11
2007-08-08,4614.59,4663.16,4711.32,4568.69,11890916300,1.59E+11
2007-08-09,4658.59,4754.1,4768.89,4658.59,9766019800,1.38E+11
2007-08-10,4745.18,4749.37,4769.62,4640.77,10186705800,1.47E+11
2007-08-13,4768.62,4820.06,4872.55,4728.89,11418471400,1.62E+11
2007-08-14,4820.15,4872.78,4876.85,4789.9,8856820800,1.28E+11
2007-08-15,4875.51,4869.88,4916.31,4762.72,9050967500,1.31E+11
2007-08-16,4845.02,4765.45,4845.02,4710.31,9053841100,1.28E+11
2007-08-17,4733.14,4656.57,4814.37,4646.43,9115904800,1.34E+11
2007-08-20,4773.83,4904.85,4906,4758.4,9915293700,1.45E+11
2007-08-21,4944.21,4955.21,4982.98,4917.82,10420410900,1.56E+11
2007-08-22,4876.35,4980.07,4999.19,4861.27,10811093800,1.62E+11
2007-08-23,5002.84,5032.49,5050.38,4968.33,9930942800,1.53E+11
2007-08-24,5070.65,5107.67,5125.36,5052.24,10899563600,1.65E+11
2007-08-27,5144.82,5150.12,5192.06,5092.08,11615424400,1.76E+11
2007-08-28,5134.14,5194.69,5209.51,5058.45,10543673900,1.67E+11
2007-08-29,5147.71,5109.43,5204.53,5063.41,10082413900,1.62E+11
2007-08-30,5144.11,5167.88,5186.53,5109.66,10121058400,1.55E+11
2007-08-31,5184.09,5218.82,5235.16,5158.37,10355626100,1.57E+11
2007-09-03,5257.78,5321.06,5327.54,5257.78,12577964900,1.89E+11
2007-09-04,5333.4,5294.05,5357.93,5265,12042636800,1.86E+11
2007-09-05,5296.07,5310.72,5337.93,5223.67,9624062400,1.51E+11
2007-09-06,5336.67,5393.66,5412.32,5314.34,10698796600,1.65E+11
2007-09-07,5381.19,5277.18,5405.36,5269.25,11984102900,1.87E+11
2007-09-10,5208.32,5355.29,5356.86,5169.9,10236823500,1.53E+11
2007-09-11,5362.94,5113.97,5395.04,5093.92,11005526200,1.70E+11
2007-09-12,5092.58,5172.63,5192.3,5025.34,9705885500,1.49E+11
2007-09-13,5193.41,5273.59,5276.77,5178.87,8655021600,1.41E+11
2007-09-14,5290.26,5312.18,5324.44,5201.85,9467391200,1.52E+11
2007-09-17,5309.06,5421.39,5427.17,5307.77,10563860900,1.67E+11
2007-09-18,5446.73,5425.21,5458.58,5339.92,10269099400,1.68E+11
2007-09-19,5439.02,5395.27,5447.36,5336.07,8972550000,1.50E+11
2007-09-20,5408.48,5470.06,5482.43,5396.11,8654720500,1.43E+11
2007-09-21,5482.51,5454.67,5489.07,5363.35,9283880900,1.51E+11
2007-09-24,5469.84,5485.01,5506.06,5404.42,8179847100,1.42E+11
2007-09-25,5500.27,5425.88,5509.23,5396.48,9650957900,1.42E+11
2007-09-26,5407.83,5338.52,5463.9,5320.02,6360858500,1.06E+11
2007-09-27,5338.11,5409.4,5411.19,5306.82,5888430000,96153707825
2007-09-28,5461.58,5552.3,5560.42,5461.58,8063128500,1.39E+11
2007-10-08,5683.31,5692.76,5729.96,5620,9598308300,1.56E+11
2007-10-09,5678.91,5715.89,5725.41,5628.35,8328903000,1.62E+11
2007-10-10,5742.65,5771.46,5860.86,5727.24,9244534400,1.65E+11
2007-10-11,5798.39,5913.23,5914.77,5755.99,9470965700,1.78E+11
2007-10-12,5950.9,5903.26,5959.36,5658.81,11914843200,2.19E+11
2007-10-15,5934.77,6030.09,6039.04,5866.13,9870744200,1.93E+11
2007-10-16,6056.95,6092.06,6124.04,6040.71,8815215900,1.64E+11
2007-10-17,6057.43,6036.28,6088.89,5982.2,7131258800,1.34E+11
2007-10-18,6031.92,5825.28,6055.47,5804.97,6980542500,1.30E+11
2007-10-19,5869.12,5818.05,5932.11,5766.86,5522489200,1.03E+11
2007-10-22,5742.79,5667.33,5804.84,5654.91,5443367400,95560238009
2007-10-23,5660.07,5773.39,5776.02,5574.84,5845396800,1.01E+11
2007-10-24,5804.02,5843.11,5906.69,5793.56,6029283100,1.09E+11
2007-10-25,5794.22,5562.39,5819.88,5546.04,7171444800,1.20E+11
2007-10-26,5498.86,5589.63,5628.83,5462.01,5151917500,87405045004
2007-10-29,5641.98,5748,5750.25,5617.98,5016440200,82105126005
2007-10-30,5769.2,5897.19,5899.65,5701.34,5427882000,90650586733
2007-10-31,5984.71,5954.77,6002.12,5871.48,7102956400,1.19E+11
2007-11-01,5978.94,5914.28,6005.13,5912.5,6488510300,1.11E+11
2007-11-02,5812.47,5777.81,5860.59,5740.4,5954159600,1.06E+11
2007-11-05,5748.18,5634.45,5787.23,5603.47,6413259700,1.55E+11
2007-11-06,5593.35,5536.57,5649.75,5510.16,4506803900,83589505632
2007-11-07,5565.65,5601.78,5610.95,5469.76,4273032800,76304024265
2007-11-08,5559.15,5330.02,5559.15,5328.2,4892466200,83761375819
2007-11-09,5276.01,5315.54,5382.7,5217.63,4734126200,80762049341
2007-11-12,5181.18,5187.73,5250.09,5032.58,5258270300,87430687546
2007-11-13,5239.34,5158.12,5311.7,5085.44,4923731600,83044466204
2007-11-14,5246.57,5412.69,5414.61,5165.06,5099288000,88064090042
